STATE_ABBREV,rank_in_state,FIPS,COUNTY_NAME,influence_score,eigenvector_centrality
MI,6,26069,Iosco County,8.935256410256407,1.4661765410739008e-23
MI,7,26129,Ogemaw County,8.935256410256407,1.4661765410739008e-23
MI,8,26137,Otsego County,8.935256410256407,1.4661765410739008e-23
MI,9,26143,Roscommon County,8.935256410256407,1.4661765410739008e-23
MI,10,26007,Alpena County,8.85833333333333,1.4661765410739008e-23
MN,1,27163,Washington County,13.269047619047615,1.4304381008560812e-06
MN,2,27057,Hubbard County,10.833333333333336,2.058574792417444e-06
MN,3,27091,Martin County,10.55787545787545,1.4661765410739008e-23
MN,4,27159,Wadena County,10.55787545787545,1.4661765410739008e-23
MN,5,27011,Big Stone County,10.55787545787545,1.4661765410739008e-23
MN,6,27117,Pipestone County,10.55787545787545,1.4661765410739008e-23
MN,7,27085,Mcleod County,10.480952380952374,1.4661765410739008e-23
MN,8,27001,Aitkin County,10.480952380952374,1.4661765410739008e-23
MN,9,27013,Blue Earth County,10.480952380952374,1.4661765410739008e-23
MN,10,27071,Koochiching County,10.480952380952374,1.4661765410739008e-23
MO,1,29113,Lincoln County,10.583333333333336,4.5630263266013926e-08
MO,2,29091,Howell County,9.03882783882784,1.4661765410739008e-23
MO,3,29097,Jasper County,9.03882783882784,1.4661765410739008e-23
MO,4,29023,Butler County,9.03882783882784,1.4661765410739008e-23
MO,5,29187,Saint Francois County,9.03882783882784,1.4661765410739008e-23
MO,6,29031,Cape Girardeau County,9.020728291316528,8.400741223919435e-09
MO,7,29069,Dunklin County,8.972161172161172,1.4661765410739008e-23
MO,8,29083,Henry County,8.972161172161172,1.4661765410739008e-23
MO,9,29123,Madison County,8.972161172161172,1.4661765410739008e-23
MO,10,29127,Marion County,8.972161172161172,1.0831316290045296e-10
MS,1,28035,Forrest County,10.816241111829344,1.4661765410739008e-23
MS,2,28075,Lauderdale County,10.66239495798319,8.169879853826801e-11
MS,3,28003,Alcorn County,10.490750915750914,3.759483031977767e-12
MS,4,28091,Marion County,10.490750915750914,1.4661765410739008e-23
MS,5,28081,Lee County,10.395728291316525,8.299020568757566e-11
MS,6,28067,Jones County,10.395728291316525,1.29140714932231e-12
MS,7,28141,Tishomingo County,10.33690476190476,1.4661765410739008e-23
MS,8,28099,Neshoba County,10.33690476190476,1.4661765410739008e-23
MS,9,28001,Adams County,10.33690476190476,1.4661765410739008e-23
MS,10,28039,George County,10.33690476190476,1.4661765410739008e-23
MT,1,30053,Lincoln County,6.757081807081807,1.4661765410739008e-23
MT,2,30017,Custer County,6.757081807081807,1.4661765410739008e-23
MT,3,30093,Silver Bow County,6.68015873015873,1.4661765410739008e-23
MT,4,30049,Lewis And Clark County,6.68015873015873,1.4661765410739008e-23
MT,5,30029,Flathead County,6.68015873015873,1.4661765410739008e-23
MT,6,30023,Deer Lodge County,6.68015873015873,6.021909702132576e-12
MT,7,30021,Dawson County,6.68015873015873,1.4661765410739008e-23
MT,8,30013,Cascade County,6.68015873015873,1.4661765410739008e-23
MT,9,30111,Yellowstone County,6.68015873015873,1.4661765410739008e-23
MT,10,30063,Missoula County,6.38015873015873,1.4661765410739008e-23
NC,1,37165,Scotland County,8.992857142857144,4.666150818601079e-09
NC,2,37025,Cabarrus County,8.576190476190474,4.666150818601079e-09
NC,3,37121,Mitchell County,7.938186813186812,1.4661765410739008e-23
NC,4,37153,Richmond County,7.938186813186812,1.4661765410739008e-23
NC,5,37171,Surry County,7.938186813186812,1.4661765410739008e-23
NC,6,37047,Columbus County,7.938186813186812,1.4661765410739008e-23
NC,7,37039,Cherokee County,7.938186813186812,1.4661765410739008e-23
NC,8,37157,Rockingham County,7.938186813186812,1.4661765410739008e-23
NC,9,37013,Beaufort County,7.938186813186812,1.4661765410739008e-23
NC,10,37045,Cleveland County,7.620238095238095,1.5555244801076274e-10
ND,1,38071,Ramsey County,5.46025641025641,1.4661765410739008e-23
ND,2,38001,Adams County,5.46025641025641,1.4661765410739008e-23
ND,3,38003,Barnes County,5.316666666666667,1.4661765410739008e-23
ND,4,38015,Burleigh County,5.316666666666667,2.439836348470276e-16
ND,5,38073,Ransom County,5.316666666666667,1.4661765410739008e-23
ND,6,38089,Stark County,5.316666666666667,1.4661765410739008e-23
ND,7,38093,Stutsman County,5.316666666666667,1.4661765410739008e-23
ND,8,38105,Williams County,5.316666666666667,1.4661765410739008e-23
ND,9,38069,Pierce County,5.216666666666668,1.4661765410739008e-23
ND,10,38035,Grand Forks County,5.2,1.7755012635441703e-16
NE,1,31111,Lincoln County,12.710964035964032,1.4661765410739008e-23
NE,2,31137,Phelps County,12.710964035964032,1.4661765410739008e-23
NE,3,31119,Madison County,12.605396809073277,5.885867071348086e-09
NE,4,31127,Nemaha County,12.425249750249748,5.885867071348086e-09
NE,5,31157,Scotts Bluff County,12.413528138528136,1.5189693774117807e-08
NE,6,31101,Keith County,12.35858308358308,1.4661765410739008e-23
NE,7,31145,Red Willow County,12.35858308358308,1.4661765410739008e-23
NE,8,31053,Dodge County,12.35858308358308,1.4661765410739008e-23
NE,9,31185,York County,12.35858308358308,1.4661765410739008e-23
NE,10,31029,Chase County,12.155952380952376,1.5189693774117807e-08
NH,1,33013,Merrimack County,3.4166666666666665,1.4661765410739008e-23
NH,2,33017,Strafford County,3.4166666666666665,1.4661765410739008e-23
NH,3,33001,Belknap County,1.5,5.1881715214774226e-17
