FIPS,COUNTY_NAME,STATE_ABBREV,influence_score,eigenvector_centrality
39145,Scioto County,OH,6.625,1.4661765410739008e-23
46067,Hutchinson County,SD,6.591666666666667,1.5985736497672141e-09
35061,Valencia County,NM,6.583333333333334,2.1186251018517875e-20
35055,Taos County,NM,6.583333333333334,2.1186251018517875e-20
12083,Marion County,FL,6.583333333333333,7.792594989940366e-09
46107,Potter County,SD,6.516666666666667,1.4661765410739008e-23
20059,Franklin County,KS,6.508333333333333,1.690527216750568e-08
46123,Tripp County,SD,6.508333333333333,9.991632967819991e-10
39001,Adams County,OH,6.5,1.4661765410739008e-23
39105,Meigs County,OH,6.5,1.4661765410739008e-23
39129,Pickaway County,OH,6.5,1.4661765410739008e-23
39139,Richland County,OH,6.5,1.4661765410739008e-23
27107,Norman County,MN,6.499999999999999,3.6155732766617815e-06
48471,Walker County,TX,6.499999999999998,0.20187106848947795
51011,Appomattox County,VA,6.458333333333333,9.742222963982415e-14
51197,Wythe County,VA,6.458333333333333,9.742222963982415e-14
51730,Petersburg city,VA,6.458333333333333,9.742222963982415e-14
30063,Missoula County,MT,6.38015873015873,1.4661765410739008e-23
55135,Waupaca County,WI,6.359523809523809,2.342378148636625e-08
54045,Logan County,WV,6.338369963369963,1.4661765410739008e-23
51147,Prince Edward County,VA,6.333333333333333,9.742222963982415e-14
48357,Ochiltree County,TX,6.2857142857142865,0.27214148388534476
40029,Coal County,OK,6.266666666666666,2.938130114151334e-08
55117,Sheboygan County,WI,6.2595238095238095,2.342378148636625e-08
55075,Marinette County,WI,6.2595238095238095,2.342378148636625e-08
55023,Crawford County,WI,6.2595238095238095,2.342378148636625e-08
55035,Eau Claire County,WI,6.2595238095238095,2.342378148636625e-08
55055,Jefferson County,WI,6.2595238095238095,2.342378148636625e-08
27027,Clay County,MN,6.25,1.5382220244478198e-06
27119,Polk County,MN,6.25,1.5382220244478198e-06
17127,Massac County,IL,6.249999999999999,2.4485042913445343e-13
35049,Santa Fe County,NM,6.249999999999999,1.4661765410739008e-23
35039,Rio Arriba County,NM,6.249999999999999,1.4661765410739008e-23
35005,Chaves County,NM,6.249999999999999,1.4661765410739008e-23
35027,Lincoln County,NM,6.249999999999999,1.4661765410739008e-23
40123,Pontotoc County,OK,6.230158730158731,6.56227300173518e-08
37087,Haywood County,NC,6.220238095238093,2.6073320032246864e-09
54067,Nicholas County,WV,6.184523809523809,1.4661765410739008e-23
54081,Raleigh County,WV,6.184523809523809,1.4661765410739008e-23
54083,Randolph County,WV,6.184523809523809,1.4661765410739008e-23
54047,Mcdowell County,WV,6.184523809523809,1.4661765410739008e-23
54041,Lewis County,WV,6.184523809523809,1.4661765410739008e-23
54039,Kanawha County,WV,6.184523809523809,1.4661765410739008e-23
54059,Mingo County,WV,6.184523809523809,1.4661765410739008e-23
54011,Cabell County,WV,6.184523809523809,3.609049947258833e-23
54051,Marshall County,WV,6.184523809523809,1.4661765410739008e-23
54053,Mason County,WV,6.184523809523809,1.4661765410739008e-23
54033,Harrison County,WV,6.184523809523809,1.4661765410739008e-23
54055,Mercer County,WV,6.184523809523809,1.4661765410739008e-23
54109,Wyoming County,WV,6.184523809523809,1.4661765410739008e-23
54029,Hancock County,WV,6.184523809523809,1.4661765410739008e-23
54005,Boone County,WV,6.184523809523809,1.4661765410739008e-23
54025,Greenbrier County,WV,6.184523809523809,1.4661765410739008e-23
54107,Wood County,WV,6.184523809523809,1.4661765410739008e-23
22053,Jefferson Davis Parish,LA,6.181746031746031,4.108999443984559e-10
22087,St. Bernard Parish,LA,6.181746031746031,4.108999443984559e-10
28159,Winston County,MS,6.142857142857142,3.851678819818402e-09
22063,Livingston Parish,LA,6.1000000000000005,6.895449764568224e-10
29217,Vernon County,MO,6.1000000000000005,4.9370258909702884e-08
48073,Cherokee County,TX,6.0,0.10696771144961789
18151,Steuben County,IN,6.0,1.3937126333649695e-07
5085,Lonoke County,AR,6.0,1.8395530711156893e-06
27147,Steele County,MN,6.0,1.5382220244478198e-06
5019,Clark County,AR,6.0,1.8395530711156893e-06
27005,Becker County,MN,6.0,1.5382220244478198e-06
26029,Charlevoix County,MI,6.0,1.0409889940619508e-07
51047,Culpeper County,VA,6.0,2.9221124972148334e-12
51610,Falls Church city,VA,6.0,2.9221124972148334e-12
16041,Franklin County,ID,6.0,1.4661765410739008e-23
48421,Sherman County,TX,6.0,0.10696771144961789
51137,Orange County,VA,6.0,2.9221124972148334e-12
48475,Ward County,TX,6.0,0.10696771144961789
31099,Kearney County,NE,6.0,5.698016937303249e-08
19151,Pocahontas County,IA,6.0,1.0287180222809779e-10
40147,Washington County,OK,5.996825396825395,4.03543560810264e-08
20007,Barber County,KS,5.950000000000001,1.690527216750568e-08
49039,Sanpete County,UT,5.861111111111111,2.185750574862065e-11
42019,Butler County,PA,5.833333333333333,7.457577656647043e-09
37199,Yancey County,NC,5.791666666666666,6.261822460830542e-09
1053,Escambia County,AL,5.770634920634921,1.3287052551765678e-09
1025,Clarke County,AL,5.770634920634921,1.3287052551765678e-09
46129,Walworth County,SD,5.763492063492063,1.5985736497672141e-09
54019,Fayette County,WV,5.75,1.4661765410739008e-23
8061,Kiowa County,CO,5.677777777777778,7.98345151785027e-08
8083,Montezuma County,CO,5.677777777777778,7.98345151785027e-08
8119,Teller County,CO,5.677777777777778,7.98345151785027e-08
8099,Prowers County,CO,5.677777777777778,7.98345151785027e-08
21007,Ballard County,KY,5.666666666666666,7.36715866296648e-08
53015,Cowlitz County,WA,5.626190476190477,1.4661765410739008e-23
53063,Spokane County,WA,5.626190476190477,1.4661765410739008e-23
53007,Chelan County,WA,5.626190476190477,1.4661765410739008e-23
53027,Grays Harbor County,WA,5.626190476190477,1.4661765410739008e-23
53009,Clallam County,WA,5.626190476190477,1.4661765410739008e-23
53041,Lewis County,WA,5.626190476190477,1.4661765410739008e-23
53005,Benton County,WA,5.626190476190477,1.4661765410739008e-23
53051,Pend Oreille County,WA,5.626190476190477,1.4661765410739008e-23
53003,Asotin County,WA,5.626190476190477,1.4661765410739008e-23
46055,Haakon County,SD,5.593589743589742,1.1655504381365658e-09
31135,Perkins County,NE,5.583333333333333,1.7372189511931525e-08
16079,Shoshone County,ID,5.566666666666668,1.3252114816748664e-09
16045,Gem County,ID,5.566666666666668,1.3252114816748664e-09
16055,Kootenai County,ID,5.566666666666668,1.3252114816748664e-09
8117,Summit County,CO,5.566666666666667,7.98345151785027e-08
29079,Grundy County,MO,5.561904761904762,3.329276363849466e-08
37167,Stanly County,NC,5.553571428571431,3.190154562673039e-09
29221,Washington County,MO,5.550000000000002,7.149325432709764e-08
17099,LaSalle County,IL,5.533333333333333,6.255712642433142e-13
46053,Gregory County,SD,5.516666666666666,1.1655504381365658e-09
1133,Winston County,AL,5.5138888888888875,2.643553784438426e-09
54035,Jackson County,WV,5.5095238095238095,5.500417685244179e-21
54103,Wetzel County,WV,5.5095238095238095,5.500417685244179e-21
54009,Brooke County,WV,5.5095238095238095,5.500417685244179e-21
42101,Philadelphia County,PA,5.5,1.1295394108369582e-08
42017,Bucks County,PA,5.5,1.1295394108369582e-08
49051,Wasatch County,UT,5.5,1.4661765410739008e-23
27149,Stevens County,MN,5.5,1.4661765410739008e-23
17133,Monroe County,IL,5.5,2.278174257547476e-13
29209,Stone County,MO,5.5,4.9370258909702884e-08
29159,Pettis County,MO,5.5,4.9370258909702884e-08
31095,Jefferson County,NE,5.461904761904762,4.531979587024307e-08
38071,Ramsey County,ND,5.46025641025641,1.4661765410739008e-23
38001,Adams County,ND,5.46025641025641,1.4661765410739008e-23
1121,Talladega County,AL,5.4595238095238106,1.3287052551765678e-09
40119,Payne County,OK,5.458333333333334,8.954743231988539e-08
30027,Fergus County,MT,5.411111111111111,4.892239199860596e-10
55113,Sawyer County,WI,5.408333333333333,2.6462864151261033e-08
55005,Barron County,WI,5.408333333333333,2.6462864151261033e-08
30041,Hill County,MT,5.3916666666666675,2.8612906474067355e-10
53057,Skagit County,WA,5.376190476190477,2.4005033627918473e-13
49053,Washington County,UT,5.362301587301587,3.715472462148453e-11
31069,Garden County,NE,5.352056277056278,9.821915350366497e-08
31033,Cheyenne County,NE,5.333333333333334,8.885879823826608e-08
20057,Ford County,KS,5.333333333333333,1.4661765410739008e-23
17091,Kankakee County,IL,5.333333333333333,6.255712642433142e-13
19079,Hamilton County,IA,5.333333333333333,2.258663835910921e-10
19125,Marion County,IA,5.333333333333333,2.258663835910921e-10
38003,Barnes County,ND,5.316666666666667,1.4661765410739008e-23
38015,Burleigh County,ND,5.316666666666667,2.4398363484702765e-16
38073,Ransom County,ND,5.316666666666667,1.4661765410739008e-23
38089,Stark County,ND,5.316666666666667,1.4661765410739008e-23
1073,Jefferson County,AL,5.316666666666667,1.5367331094634465e-09
38093,Stutsman County,ND,5.316666666666667,1.4661765410739008e-23
