CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2007
Print
Related Pages
< U.S. County Opioid Dispensing Rates, 2006

U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2008 >

US County Dispensing Rates, 2007
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2007
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Fremont, CO	CO	08043	70.4
Garfield, CO	CO	08045	94.6
Gilpin, CO	CO	08047	–
Grand, CO	CO	08049	52.8
Gunnison, CO	CO	08051	49.4
Hinsdale, CO	CO	08053	–
Huerfano, CO	CO	08055	88.8
Jackson, CO	CO	08057	–
Jefferson, CO	CO	08059	77.8
Kiowa, CO	CO	08061	98.0
Kit Carson, CO	CO	08063	–
Lake, CO	CO	08065	70.6
La Plata, CO	CO	08067	76.3
Larimer, CO	CO	08069	68.8
Las Animas, CO	CO	08071	122.5
Lincoln, CO	CO	08073	–
Logan, CO	CO	08075	86.0
Mesa, CO	CO	08077	98.2
Mineral, CO	CO	08079	–
Moffat, CO	CO	08081	99.5
Montezuma, CO	CO	08083	88.3
Montrose, CO	CO	08085	91.8
Morgan, CO	CO	08087	75.7
Otero, CO	CO	08089	111.9
Ouray, CO	CO	08091	38.9
Park, CO	CO	08093	14.3
Phillips, CO	CO	08095	34.8
Pitkin, CO	CO	08097	31.6
Prowers, CO	CO	08099	87.0
Pueblo, CO	CO	08101	110.6
Rio Blanco, CO	CO	08103	–
Rio Grande, CO	CO	08105	41.9
Routt, CO	CO	08107	82.9
Saguache, CO	CO	08109	–
San Juan, CO	CO	08111	–
San Miguel, CO	CO	08113	46.8
Sedgwick, CO	CO	08115	81.8
Summit, CO	CO	08117	83.6
Teller, CO	CO	08119	84.1
Washington, CO	CO	08121	37.5
Weld, CO	CO	08123	60.8
Yuma, CO	CO	08125	73.2
Fairfield, CT	CT	09001	52.3
Hartford, CT	CT	09003	72.4
Litchfield, CT	CT	09005	69.4
Middlesex, CT	CT	09007	66.3
New Haven, CT	CT	09009	76.5
New London, CT	CT	09011	76.6
Tolland, CT	CT	09013	51.6
Windham, CT	CT	09015	78.4
District of Columbia, DC	DC	11001	41.2
Kent, DE	DE	10001	83.8
New Castle, DE	DE	10003	87.0
Sussex, DE	DE	10005	114.4
Alachua, FL	FL	12001	92.1
Baker, FL	FL	12003	156.8
Bay, FL	FL	12005	128.3
Bradford, FL	FL	12007	98.3
Brevard, FL	FL	12009	98.0
Broward, FL	FL	12011	71.5
Calhoun, FL	FL	12013	80.6
Charlotte, FL	FL	12015	118.7
Citrus, FL	FL	12017	106.9
Clay, FL	FL	12019	96.1
Collier, FL	FL	12021	78.7
Columbia, FL	FL	12023	133.5
DeSoto, FL	FL	12027	64.9
Dixie, FL	FL	12029	51.6
Duval, FL	FL	12031	96.0
Escambia, FL	FL	12033	131.1
Flagler, FL	FL	12035	94.3
Franklin, FL	FL	12037	106.0
Gadsden, FL	FL	12039	62.6
Gilchrist, FL	FL	12041	56.3
Glades, FL	FL	12043	–
Gulf, FL	FL	12045	97.9
Hamilton, FL	FL	12047	61.8
Hardee, FL	FL	12049	59.4
Hendry, FL	FL	12051	82.3
Hernando, FL	FL	12053	107.3
Highlands, FL	FL	12055	75.0
Hillsborough, FL	FL	12057	99.4
Holmes, FL	FL	12059	100.8
Indian River, FL	FL	12061	100.8
Jackson, FL	FL	12063	73.1
Jefferson, FL	FL	12065	69.2
Lafayette, FL	FL	12067	15.8
Lake, FL	FL	12069	90.3
Lee, FL	FL	12071	88.6
Leon, FL	FL	12073	82.3
Levy, FL	FL	12075	109.7
Liberty, FL	FL	12077	26.3
Madison, FL	FL	12079	70.1
Manatee, FL	FL	12081	95.1
Marion, FL	FL	12083	100.7
Martin, FL	FL	12085	87.9
Miami-Dade, FL	FL	12086	34.5
Monroe, FL	FL	12087	114.4
Nassau, FL	FL	12089	104.3
Okaloosa, FL	FL	12091	116.1
Okeechobee, FL	FL	12093	101.8
Orange, FL	FL	12095	63.0
Osceola, FL	FL	12097	62.8
Palm Beach, FL	FL	12099	77.1
Pasco, FL	FL	12101	120.9
Pinellas, FL	FL	12103	100.9
Polk, FL	FL	12105	90.7
Putnam, FL	FL	12107	104.3
St. Johns, FL	FL	12109	80.3
St. Lucie, FL	FL	12111	70.8
Santa Rosa, FL	FL	12113	114.5
Sarasota, FL	FL	12115	95.1
Seminole, FL	FL	12117	72.8
Sumter, FL	FL	12119	52.8
Suwannee, FL	FL	12121	83.8
Taylor, FL	FL	12123	106.5
Union, FL	FL	12125	64.0
Volusia, FL	FL	12127	98.4
Wakulla, FL	FL	12129	87.6
Walton, FL	FL	12131	124.4
Washington, FL	FL	12133	145.9
Appling, GA	GA	13001	117.0
Atkinson, GA	GA	13003	60.5
