CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2006
Print
Related Pages
U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2007 >

US County Prescribing Rates, 2006
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2006
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Lanier, GA	GA	13173	–
Laurens, GA	GA	13175	168.4
Lee, GA	GA	13177	35.0
Liberty, GA	GA	13179	50.9
Lincoln, GA	GA	13181	–
Long, GA	GA	13183	–
Lowndes, GA	GA	13185	90.3
Lumpkin, GA	GA	13187	62.8
McDuffie, GA	GA	13189	129.8
McIntosh, GA	GA	13191	73.7
Macon, GA	GA	13193	62.8
Madison, GA	GA	13195	90.5
Marion, GA	GA	13197	–
Meriwether, GA	GA	13199	47.2
Miller, GA	GA	13201	131.9
Mitchell, GA	GA	13205	73.1
Monroe, GA	GA	13207	77.7
Montgomery, GA	GA	13209	–
Morgan, GA	GA	13211	45.8
Murray, GA	GA	13213	73.5
Muscogee, GA	GA	13215	100.0
Newton, GA	GA	13217	89.7
Oconee, GA	GA	13219	73.1
Oglethorpe, GA	GA	13221	–
Paulding, GA	GA	13223	69.1
Peach, GA	GA	13225	86.1
Pickens, GA	GA	13227	119.1
Pierce, GA	GA	13229	51.1
Pike, GA	GA	13231	–
Polk, GA	GA	13233	137.5
Pulaski, GA	GA	13235	98.0
Putnam, GA	GA	13237	63.7
Quitman, GA	GA	13239	–
Rabun, GA	GA	13241	142.6
Randolph, GA	GA	13243	67.8
Richmond, GA	GA	13245	89.9
Rockdale, GA	GA	13247	95.6
Schley, GA	GA	13249	–
Screven, GA	GA	13251	60.1
Seminole, GA	GA	13253	114.9
Spalding, GA	GA	13255	124.6
Stephens, GA	GA	13257	136.1
Stewart, GA	GA	13259	73.4
Sumter, GA	GA	13261	94.2
Talbot, GA	GA	13263	–
Taliaferro, GA	GA	13265	–
Tattnall, GA	GA	13267	61.3
Taylor, GA	GA	13269	–
Telfair, GA	GA	13271	0.1
Terrell, GA	GA	13273	–
Thomas, GA	GA	13275	93.9
Tift, GA	GA	13277	125.8
Toombs, GA	GA	13279	190.8
Towns, GA	GA	13281	69.9
Treutlen, GA	GA	13283	–
Troup, GA	GA	13285	74.8
Turner, GA	GA	13287	80.9
Twiggs, GA	GA	13289	29.9
Union, GA	GA	13291	146.9
Upson, GA	GA	13293	92.0
Walker, GA	GA	13295	31.8
Walton, GA	GA	13297	93.6
Ware, GA	GA	13299	212.2
Warren, GA	GA	13301	–
Washington, GA	GA	13303	78.8
Wayne, GA	GA	13305	130.7
Webster, GA	GA	13307	–
Wheeler, GA	GA	13309	–
White, GA	GA	13311	63.3
Whitfield, GA	GA	13313	72.5
Wilcox, GA	GA	13315	–
Wilkes, GA	GA	13317	118.1
Wilkinson, GA	GA	13319	–
Worth, GA	GA	13321	73.5
Hawaii, HI	HI	15001	69.8
Honolulu, HI	HI	15003	31.8
Kalawao, HI	HI	15005	–
Kauai, HI	HI	15007	87.0
Maui, HI	HI	15009	56.8
Adair, IA	IA	19001	38.1
Adams, IA	IA	19003	75.0
Allamakee, IA	IA	19005	54.8
Appanoose, IA	IA	19007	109.9
Audubon, IA	IA	19009	55.6
Benton, IA	IA	19011	–
Black Hawk, IA	IA	19013	68.0
Boone, IA	IA	19015	40.5
Bremer, IA	IA	19017	21.0
Buchanan, IA	IA	19019	36.7
Buena Vista, IA	IA	19021	50.2
Butler, IA	IA	19023	35.3
Calhoun, IA	IA	19025	46.2
Carroll, IA	IA	19027	70.0
Cass, IA	IA	19029	69.4
Cedar, IA	IA	19031	21.2
Cerro Gordo, IA	IA	19033	89.8
Cherokee, IA	IA	19035	67.4
Chickasaw, IA	IA	19037	27.4
Clarke, IA	IA	19039	38.3
Clay, IA	IA	19041	75.6
Clayton, IA	IA	19043	54.9
Clinton, IA	IA	19045	69.0
Crawford, IA	IA	19047	53.7
Dallas, IA	IA	19049	28.1
Davis, IA	IA	19051	9.7
Decatur, IA	IA	19053	25.9
Delaware, IA	IA	19055	37.3
Des Moines, IA	IA	19057	91.9
Dickinson, IA	IA	19059	63.7
Dubuque, IA	IA	19061	51.2
Emmet, IA	IA	19063	62.9
Fayette, IA	IA	19065	70.2
Floyd, IA	IA	19067	77.7
Franklin, IA	IA	19069	28.3
Fremont, IA	IA	19071	32.4
Greene, IA	IA	19073	60.6
Grundy, IA	IA	19075	7.0
Guthrie, IA	IA	19077	20.0
Hamilton, IA	IA	19079	55.2
Hancock, IA	IA	19081	25.8
Hardin, IA	IA	19083	50.9
Harrison, IA	IA	19085	76.4
